FILE 	 0 	 1 	 2 	 3 	 4 	 5

../numbers/100000000numbers.txt 	 0.270546268 	 0.277826976 	 0.209884081 	 0.198617356 	 0.175725821 	 0.158193920
../numbers/10000000numbers.txt 	 0.028069555 	 0.029443665 	 0.028840522 	 0.026004105 	 0.028773615 	 0.029622199
../numbers/1000000numbers.txt 	 0.002863176 	 0.002865488 	 0.003086338 	 0.003275036 	 0.003331644 	 0.003416552
../numbers/100000numbers.txt 	 0.000348536 	 0.000392544 	 0.000519736 	 0.017795675 	 0.000700688 	 0.000775298
../numbers/10000numbers.txt 	 0.000029535 	 0.000040397 	 0.000192109 	 0.000273713 	 0.000322124 	 0.000351404
../numbers/1000numbers.txt 	 0.000002688 	 0.000009943 	 0.000143497 	 0.000208075 	 0.000243895 	 0.000301476
../numbers/5numbers.txt 	 0.000000177 	 0.000006968 	 0.000148611 	 0.000197020 	 0.000245882 	 0.000289374
../numbers/NumbersGenerator.class 	 	 	 	 	 	
../numbers/NumbersGenerator.java 	 	 	 	 	 	
