FILE 	 0 	 1 	 2 	 3 	 4 	 5

../numbers/100000000numbers.txt 	 31388817863 	 22989564818 	 12600955098 	 8052990760 	 6295851403 	 6700108659
../numbers/10000000numbers.txt 	 3136142677 	 2340954071 	 1217839457 	 849749334 	 705801720 	 781555856
../numbers/1000000numbers.txt 	 329245430 	 252469134 	 170201031 	 145477573 	 153742817 	 151769662
../numbers/100000numbers.txt 	 46023751 	 44283618 	 40013336 	 47767280 	 44238934 	 48519712
../numbers/10000numbers.txt 	 10797856 	 9731345 	 14342153 	 25387748 	 21385750 	 23526308
../numbers/1000numbers.txt 	 1532734 	 4926067 	 30096149 	 15483271 	 27897546 	 23194488
../numbers/5numbers.txt 	 108873 	 2136275 	 12792891 	 7164181 	 16427534 	 16190844
../numbers/NumbersGenerator.class 	 	 	 	 	 	
../numbers/NumbersGenerator.java 	 	 	 	 	 	
